DeptID,DeptName,TotalAmount
12,SCC - Business Performance Mgmt ,1656.55620692537
41,TAS - Business Value & Litigation,1082.198070123373
46,TAS- Capital Corp,952.527641509434
51,SCC - Tech Advisory,637.9286941800293
53,TAS-Capital Special Situations,1522.064296836983
54,TAS-Corp Restructuring,656.371658064516
