ClientNum,billable,nonbillable,total,billable_ratio
CLT1208,904.95,0.0,904.95,100.0
CLT3085,102.22,0.0,102.22,100.0
CLT3601,522.0500000000001,0.0,522.0500000000001,100.0
CLT1911,19.25,0.0,19.25,100.0
CLT2043,1118.2000000000016,0.0,1118.2000000000016,100.0
CLT1678,230.23999999999998,0.0,230.23999999999998,100.0
CLT2268,1099.05,0.0,1099.05,100.0
CLT1526,39.5,0.0,39.5,100.0
CLT2520,911.4000000000027,0.0,911.4000000000027,100.0
CLT2961,105.89999999999999,0.0,105.89999999999999,100.0
CLT1345,368.9,0.0,368.9,100.0
CLT2764,80.25,0.0,80.25,100.0
CLT3007,142.5,0.0,142.5,100.0
CLT2090,10.5,0.0,10.5,100.0
CLT2555,24.299999999999997,0.0,24.299999999999997,100.0
CLT2992,1014.65,0.0,1014.65,100.0
CLT2816,307.25,0.0,307.25,100.0
CLT2125,834.4300000000001,0.0,834.4300000000001,100.0
CLT2031,1353.05,0.0,1353.05,100.0
CLT1016,39.75,0.0,39.75,100.0
CLT2824,327.25,0.0,327.25,100.0
CLT2759,2066.25,0.0,2066.25,0.0
CLT3159,105.75,0.0,105.75,100.0
CLT3370,40.5,0.0,40.5,100.0
CLT1430,499.1900000000003,0.0,499.1900000000003,100.0
CLT3595,123.25,0.0,123.25,100.0
CLT1483,114.75,0.0,114.75,100.0
CLT2706,115.5,0.0,115.5,100.0
CLT3228,12619.75,0.0,12619.75,100.0
CLT1682,742.1700000000017,0.0,742.1700000000017,100.0
CLT3663,7620.7,0.0,7620.7,100.0
CLT3146,644.33,0.0,644.33,100.0
CLT3751,31.6,0.0,31.6,100.0
CLT1993,1130.5,0.0,1130.5,100.0
CLT2386,259.0,0.0,259.0,100.0
CLT1012,358.5,0.0,358.5,100.0
CLT1729,520.6,0.0,520.6,100.0
CLT2860,3604.0,0.0,3604.0,100.0
CLT2135,70.5,0.0,70.5,100.0
CLT2716,1510.4,0.0,1510.4,100.0
CLT1466,228.5,0.0,228.5,100.0
CLT3890,31.5,0.0,31.5,100.0
CLT1834,389.7800000000001,0.0,389.7800000000001,100.0
CLT3547,31.950000000000003,0.0,31.950000000000003,100.0
CLT3105,18924.5,0.0,18924.5,100.0
CLT2946,40.6,0.0,40.6,100.0
CLT3655,2.0,0.0,2.0,100.0
CLT1867,355.0,0.0,355.0,100.0
CLT1636,264.2000000000001,0.0,264.2000000000001,100.0
CLT1333,94.75,0.0,94.75,100.0
CLT3742,368.34,0.0,368.34,100.0
CLT2808,178.17,0.0,178.17,100.0
CLT2604,111.5,0.0,111.5,100.0
CLT1234,606.6,0.0,606.6,100.0
CLT2358,42.0,0.0,42.0,100.0
CLT1516,47.65000000000001,0.0,47.65000000000001,100.0
CLT3875,152.93999999999997,0.0,152.93999999999997,100.0
CLT3374,2761.7999999999997,0.0,2761.7999999999997,100.0
CLT2327,1211.8000000000002,0.0,1211.8000000000002,100.0
CLT1436,760.2499999999997,0.0,760.2499999999997,100.0
CLT1776,1493.5,0.0,1493.5,100.0
CLT2288,35.1,0.0,35.1,100.0
CLT2713,0.05,0.0,0.05,100.0
CLT3463,22.15,0.0,22.15,100.0
CLT2155,376.5,0.0,376.5,100.0
CLT2851,16.5,0.0,16.5,100.0
CLT2024,15.25,0.0,15.25,100.0
CLT3779,18.849999999999998,0.0,18.849999999999998,100.0
CLT2470,115.5,0.0,115.5,100.0
CLT1960,1627.75,0.0,1627.75,100.0
CLT2427,1268.0,0.0,1268.0,100.0
CLT4047,222.25,0.0,222.25,100.0
CLT2036,134.75,0.0,134.75,100.0
CLT2216,32.2,0.0,32.2,100.0
CLT2015,9.8,0.0,9.8,100.0
CLT3066,1735.5,0.0,1735.5,100.0
CLT2949,904.5,0.0,904.5,100.0
CLT2227,1118.65,2.0,1120.65,99.82
CLT3438,88.20000000000003,0.0,88.20000000000003,100.0
CLT3735,646.0,0.0,646.0,100.0
CLT2878,27.6,0.0,27.6,100.0
CLT2773,671.5,0.0,671.5,100.0
CLT1562,43.550000000000004,0.0,43.550000000000004,100.0
CLT1046,5.75,0.0,5.75,100.0
CLT1145,607.8999999999999,0.0,607.8999999999999,100.0
CLT1434,1985.65,0.0,1985.65,100.0
CLT1113,537.25,0.0,537.25,100.0
CLT2182,41.25,0.0,41.25,100.0
CLT3483,24.900000000000002,0.0,24.900000000000002,100.0
CLT1878,67.75,0.0,67.75,100.0
